time,open,high,low,close,tick_volume,spread,real_volume
2025-07-23 07:57:00,1.17374,1.17403,1.1736900000000001,1.17401,98,2,0
2025-07-23 07:58:00,1.17402,1.17423,1.17401,1.17418,73,2,0
2025-07-23 07:59:00,1.17418,1.1742,1.17413,1.17418,79,2,0
2025-07-23 08:00:00,1.17419,1.17422,1.17395,1.1739600000000001,145,2,0
2025-07-23 08:01:00,1.17395,1.17399,1.17368,1.1736900000000001,111,2,0
2025-07-23 08:02:00,1.1736900000000001,1.17388,1.1736900000000001,1.17387,88,2,0
2025-07-23 08:03:00,1.17387,1.17433,1.17384,1.17431,131,2,0
2025-07-23 08:04:00,1.17431,1.17448,1.17424,1.17436,93,2,0
2025-07-23 08:05:00,1.17436,1.17448,1.17431,1.17442,82,2,0
2025-07-23 08:06:00,1.17442,1.17447,1.17432,1.17433,68,2,0
2025-07-23 08:07:00,1.17433,1.1743999999999999,1.17426,1.17429,72,2,0
2025-07-23 08:08:00,1.17428,1.17453,1.17428,1.17449,70,2,0
2025-07-23 08:09:00,1.17449,1.17466,1.17448,1.1745700000000001,105,2,0
2025-07-23 08:10:00,1.17458,1.17478,1.17449,1.17477,64,2,0
2025-07-23 08:11:00,1.17477,1.1748,1.17445,1.17445,100,2,0
2025-07-23 08:12:00,1.17445,1.17446,1.17431,1.17432,62,2,0
2025-07-23 08:13:00,1.17432,1.17442,1.17431,1.17442,46,2,0
2025-07-23 08:14:00,1.17441,1.17441,1.17427,1.17437,53,2,0
2025-07-23 08:15:00,1.17437,1.17439,1.17428,1.17434,57,2,0
2025-07-23 08:16:00,1.17434,1.17437,1.17421,1.17432,46,2,0
2025-07-23 08:17:00,1.17432,1.17442,1.17428,1.17431,56,2,0
2025-07-23 08:18:00,1.17431,1.17432,1.17392,1.17401,84,2,0
2025-07-23 08:19:00,1.174,1.17405,1.1739,1.174,74,2,0
2025-07-23 08:20:00,1.17401,1.17418,1.17401,1.17408,47,2,0
2025-07-23 08:21:00,1.17409,1.17422,1.17409,1.17421,44,2,0
2025-07-23 08:22:00,1.17421,1.17432,1.17385,1.1741,94,2,0
2025-07-23 08:23:00,1.17412,1.17427,1.1741,1.17411,107,2,0
2025-07-23 08:24:00,1.17411,1.17418,1.17388,1.17397,92,2,0
2025-07-23 08:25:00,1.17393,1.17397,1.17387,1.17391,62,2,0
2025-07-23 08:26:00,1.17391,1.17395,1.17382,1.17391,81,2,0
2025-07-23 08:27:00,1.17391,1.17393,1.17381,1.17382,49,2,0
2025-07-23 08:28:00,1.17382,1.17392,1.17371,1.17391,66,2,0
2025-07-23 08:29:00,1.17391,1.17393,1.17385,1.17385,78,2,0
2025-07-23 08:30:00,1.17385,1.17397,1.17381,1.17388,82,2,0
2025-07-23 08:31:00,1.17388,1.17398,1.17382,1.17386,66,2,0
2025-07-23 08:32:00,1.17386,1.17386,1.17372,1.17372,45,2,0
2025-07-23 08:33:00,1.17372,1.17372,1.17351,1.17355,45,2,0
2025-07-23 08:34:00,1.17355,1.17358,1.17336,1.1735,107,2,0
2025-07-23 08:35:00,1.1735,1.17351,1.17325,1.17326,105,2,0
2025-07-23 08:36:00,1.17326,1.17332,1.17312,1.17316,59,2,0
2025-07-23 08:37:00,1.17316,1.17322,1.17311,1.17316,73,2,0
2025-07-23 08:38:00,1.17316,1.17338,1.1731,1.17338,95,2,0
2025-07-23 08:39:00,1.17338,1.17343,1.17327,1.17331,102,2,0
2025-07-23 08:40:00,1.17331,1.17342,1.17319,1.17329,111,2,0
2025-07-23 08:41:00,1.17329,1.1733,1.17313,1.17317,113,2,0
2025-07-23 08:42:00,1.17318,1.17333,1.17313,1.17327,81,2,0
2025-07-23 08:43:00,1.17327,1.17344,1.17327,1.17331,78,2,0
2025-07-23 08:44:00,1.17331,1.17342,1.1733,1.1734,90,2,0
2025-07-23 08:45:00,1.1734,1.17346,1.17325,1.17327,93,2,0
2025-07-23 08:46:00,1.17327,1.17338,1.17325,1.17328,53,2,0
2025-07-23 08:47:00,1.17328,1.17329,1.17326,1.17328,41,2,0
2025-07-23 08:48:00,1.17328,1.1733,1.17311,1.17312,63,2,0
2025-07-23 08:49:00,1.17313,1.1733,1.17309,1.17321,67,2,0
2025-07-23 08:50:00,1.17322,1.17329,1.17321,1.17328,57,2,0
2025-07-23 08:51:00,1.17328,1.17339,1.17326,1.17329,75,2,0
2025-07-23 08:52:00,1.1733,1.1733,1.17318,1.17328,49,2,0
2025-07-23 08:53:00,1.17328,1.1733500000000001,1.17318,1.17329,40,2,0
2025-07-23 08:54:00,1.17329,1.17329,1.17312,1.17314,45,2,0
2025-07-23 08:55:00,1.17313,1.1733500000000001,1.17313,1.17328,74,2,0
2025-07-23 08:56:00,1.17329,1.17329,1.17319,1.17327,95,2,0
2025-07-23 08:57:00,1.17327,1.17333,1.17315,1.17331,80,2,0
2025-07-23 08:58:00,1.17331,1.1734,1.17326,1.17338,110,2,0
2025-07-23 08:59:00,1.17338,1.17338,1.1732,1.17327,112,2,0
